Team,Nationality,Position,Age,Potential,Name
Gil Vicente FC ,Colombia,Lateral Izquierdo,23,Bueno,Edwin Banguera
Fotbal Club FCSB ,Romania,Mediocampista | Mediocampista Ofensivo | Extremo Derecho,25,Bueno,Ionut Vîna
Wisla Kraków ,Montenegro,Mediocampista Defensivo,26,Bueno,Vukan Savicevic
Kashima Antlers ,Japan,Lateral Derecho | Lateral Izquierdo,24,Bueno,Rikuto Hirose
Seattle Sounders FC ,Ecuador,Defensor Central,25,Bueno,Xavier Arreaga
Willem II ,Netherlands,Mediocampista Defensivo | Mediocampista,23,Bueno,Dries Saddiki
Waasland-Beveren ,Rwanda,Mediocampista Defensivo | Mediocampista,23,Bueno,Djihad Bizimana
Atlanta United ,England,Mediocampista Defensivo | Mediocampista,23,Bueno,Mo Adams
FK Austria Wien ,Austria,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,23,Bueno,Manprit Sarkaria
FC Paços de Ferreira ,Portugal,Extremo Derecho | Extremo Izquierdo,23,Bueno,Hélder Ferreira
R. Zaragoza ,Spain,Lateral Derecho,25,Bueno,Delmás
SV Sandhausen ,Netherlands,Defensor Central,24,Bueno,Jesper Verlaat
Kaizer Chiefs ,South Africa,Arquero,25,Bueno,Bruce Bvuma
CD Mirandés ,Spain,Mediocampista,25,Bueno,Guridi
SK Brann ,Ivory Coast,Delantero Centro,25,Bueno,Daouda Karamoko Bamba
Asocia?ia Fotbal Club Astra Giurgiu ,Bosnia & Herzegovina,Lateral Derecho | Defensor Central,26,Bueno,Daniel Graovac
FC København ,Croatia,Lateral Derecho,25,Bueno,Karlo Bartolec
CS Emelec ,Ecuador,Mediocampista Izquierdo,23,Bueno,Bryan Cabezas
Cerezo Osaka ,Brazil,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,24,Bueno,Lucas Mineiro
Oxford United ,England,Defensor Central,23,Bueno,Elliott Moore
SC Heerenveen ,Netherlands,Mediocampista Ofensivo | Extremo Izquierdo,24,Bueno,Jordy Bruijn
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Mediocampista Ofensivo | Extremo Derecho,25,Bueno,Alexandru Ioni?a
Free Agents ,Bulgaria,Mediocampista Defensivo | Mediocampista,26,Bueno,Kristiyan Malinov
Jeju United FC ,Korea Republic,Arquero,26,Bueno,Yoon Bo Sang
Kashima Antlers ,Brazil,Defensor Central,24,Bueno,Bueno
Nagoya Grampus ,Japan,Lateral Derecho | Defensor Central | Mediocampista,24,Bueno,Kazuya Miyahara
Vegalta Sendai ,Japan,Defensor Central | Mediocampista Defensivo | Mediocampista,25,Bueno,Kyohei Yoshino
Nagoya Grampus ,Japan,Defensor Central,24,Bueno,Shinnosuke Nakatani
FC Ingolstadt 04 ,Germany,Mediocampista Defensivo | Mediocampista,26,Bueno,Robin Krauße
KV Kortrijk ,United States,Lateral Derecho | Defensor Central,25,Bueno,Brendan Hines-Ike
Suwon Samsung Bluewings ,Korea Republic,Delantero Centro | Extremo Derecho,25,Bueno,Kim Gun Hee
Independiente Santa Fe ,Colombia,Mediocampista Ofensivo | Extremo Derecho,25,Bueno,Jhon Velásquez
FC Nantes ,France,Arquero,24,Bueno,Alexandre Olliero
Gimnasia y Esgrima La Plata ,Argentina,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Horacio Tijanovich
Slask Wroclaw ,Uruguay,Lateral Derecho | Lateral Izquierdo,25,Bueno,Guillermo Cotugno
Waasland-Beveren ,Belgium,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Beni Badibanga
Nîmes Olympique ,France,Delantero Centro,25,Bueno,Clément Depres
SV Sandhausen ,Germany,Mediocampista Defensivo | Mediocampista,24,Bueno,Marlon Frey
ESTAC Troyes ,Ivory Coast,Delantero Centro,24,Bueno,Chris Bedia
Birmingham City ,Mali,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,24,Bueno,Cheick Keita
FC Nordsjælland ,Denmark,Carrilero Derecho | Lateral Derecho | Extremo Derecho,23,Bueno,Mads Døhr Thychosen
Huachipato FC ,Chile,Mediocampista Ofensivo,25,Bueno,Israel Poblete
VVV-Venlo ,Germany,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,23,Bueno,Richard Neudecker
CD Numancia ,Spain,Lateral Derecho,25,Bueno,Iván Calero
Yeni Malatyaspor ,Egypt,Lateral Izquierdo,24,Bueno,Karim Hafez
Venezia ,Italy,Delantero Centro | Extremo Izquierdo,24,Bueno,Alessandro Capello
Lincoln City ,England,Mediocampista Ofensivo,24,Bueno,Jake Hesketh
CD Mirandés ,Ghana,Extremo Izquierdo,24,Bueno,Ernest Ohemeng
Club León ,Colombia,Mediocampista Izquierdo | Mediocampista Ofensivo,25,Bueno,Jown Cardona
Sunderland ,United States,Extremo Derecho | Extremo Izquierdo,24,Bueno,Lynden Gooch
Junior FC ,Colombia,Lateral Izquierdo,24,Bueno,Jeison Angulo
Portland Timbers ,New Zealand,Lateral Derecho | Defensor Central | Mediocampista Defensivo,25,Bueno,Bill Tuiloma
Sportverein Waldhof Mannheim 07 e.V. ,Kosovo,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Valmir Sulejmani
FC Erzgebirge Aue ,Germany,Defensor Central,25,Bueno,Malcolm Cacutalua
SD Huesca ,Spain,Arquero,26,Bueno,Rubén Yáñez
Huachipato FC ,Chile,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,25,Bueno,Cristián Cuevas
FC Twente ,Netherlands,Defensor Central,25,Bueno,Peet Bijen
Gençlerbirligi SK ,Brazil,Defensor Central,26,Bueno,Flávio
Motherwell ,England,Delantero Centro,25,Bueno,Chris Long
Heart of Midlothian ,England,Delantero Centro,25,Bueno,Uche Ikpeazu
CD O'Higgins ,Chile,Mediocampista,26,Bueno,Gerardo Navarrete
Salerno ,Italy,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,24,Bueno,Cristiano Lombardi
Wycombe Wanderers ,England,Lateral Derecho,24,Bueno,Jason McCarthy
Hull City ,Australia,Lateral Izquierdo,25,Bueno,Callum Elder
Atlético Tucumán ,Argentina,Mediocampista Defensivo | Mediocampista,26,Bueno,Federico Bravo
CD Everton de Viña del Mar ,Chile,Lateral Derecho,25,Bueno,Camilo Rodríguez
SG Dynamo Dresden ,Austria,Mediocampista Derecho | Mediocampista Ofensivo | Mediapunta,23,Bueno,Sascha Horvath
SG Dynamo Dresden ,Ghana,Delantero Centro | Extremo Derecho | Extremo Izquierdo,25,Bueno,Godsway Donyoh
DSC Arminia Bielefeld ,Germany,Arquero,26,Bueno,Philipp Klewin
Kilmarnock ,Romania,Arquero,26,Bueno,Lauren?iu Branescu
Sporting Charleroi ,Togo,Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,David Henen
Milton Keynes Dons ,England,Defensor Central,26,Bueno,Jordan Moore-Taylor
Brøndby IF ,Iceland,Defensor Central,25,Bueno,Hjörtur Hermannsson
Brøndby IF ,Denmark,Mediocampista Defensivo | Mediocampista,25,Bueno,Lasse Vigen
Sunderland ,England,Defensor Central,25,Bueno,Jordan Willis
Portsmouth ,Northern Ireland,Mediocampista Defensivo | Mediocampista,25,Bueno,Cameron McGeehan
SV Zulte Waregem ,Netherlands,Lateral Derecho | Lateral Izquierdo | Mediocampista Defensivo,25,Bueno,Sandy Walsh
Strømsgodset IF ,Norway,Mediocampista,24,Bueno,Herman Stengel
AC Horsens ,Denmark,Defensor Central,27,Bueno,Alexander Ludwig
Club Necaxa ,Paraguay,Defensor Central,23,Bueno,Alexis Doldán
Liverpool Fútbol Club ,Uruguay,Arquero,25,Bueno,Santiago Amorín
Club Deportivo El Nacional ,Ecuador,Lateral Derecho,23,Bueno,Kevin Peralta
Club Plaza de Deportes Colonia ,Uruguay,Mediocampista Izquierdo | Mediocampista,23,Bueno,Facundo Waller
PEC Zwolle ,Netherlands,Defensor Central,22,Bueno,Sam Kersten
Orlando Pirates ,South Africa,Delantero Centro | Mediapunta,23,Bueno,Tshegofatso Mabasa
Futebol Clube de Famalicão ,Brazil,Arquero,23,Bueno,Gabriel Souza
Shimizu S-Pulse ,Japan,Mediocampista Izquierdo,23,Bueno,Kenta Nishizawa
Dijon FCO ,Mali,Defensor Central,25,Bueno,Senou Coulibaly
Cardiff City ,Northern Ireland,Mediocampista Derecho,24,Bueno,Gavin Whyte
Dinamo Zagreb ,Iran,Lateral Derecho,24,Bueno,Sadegh Moharrami
CF Fuenlabrada ,Angola,Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Anderson Emanuel
KRC Genk ,Brazil,Lateral Izquierdo,23,Bueno,Neto Borges
FC Red Bull Salzburg ,Brazil,Arquero,23,Bueno,Carlos Miguel
FC Emmen ,Croatia,Delantero Centro | Mediocampista Derecho,25,Bueno,Marko Kolar
Estudiantes de La Plata ,Argentina,Mediocampista Derecho | Mediocampista,24,Bueno,Nahuel Estévez
Denizlispor ,Turkey,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Sedat Sahintürk
Molde FK ,Norway,Mediocampista Defensivo | Mediocampista,25,Bueno,Martin Ellingsen
SpVgg Unterhaching ,Germany,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Luca Marseiler
Ipswich Town ,England,Mediocampista,21,Bueno,Flynn Downes
Pohang Steelers ,Korea Republic,Defensor Central,25,Bueno,Ha Chang Rae
Sint-Truidense VV ,Japan,Lateral Izquierdo,23,Bueno,Ko Matsubara
Rochdale ,England,Mediocampista Defensivo | Mediocampista Izquierdo | Mediocampista,23,Bueno,Oliver Rathbone
Crotone ,Montenegro,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,25,Bueno,Marko Jankovic
Castellammare di Stabia ,Italy,Delantero Centro,23,Bueno,Alessandro Rossi
Kashima Antlers ,Japan,Lateral Izquierdo | Defensor Central,22,Bueno,Koki Machida
Guangzhou Evergrande Taobao FC ,China PR,Lateral Izquierdo | Defensor Central,24,Bueno,Gao Zhunyi
Fotbal Club Voluntari ,Netherlands,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,25,Bueno,Moussa Sanoh
Zaglebie Lubin ,Serbia,Mediocampista | Extremo Derecho,24,Bueno,Dejan Drazic
Vitesse ,Netherlands,Lateral Derecho,23,Bueno,Julian Lelieveld
Portland Timbers ,Venezuela,Mediocampista Defensivo | Mediocampista Derecho | Mediocampista,25,Bueno,Renzo Zambrano
FC Würzburger Kickers ,Germany,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,23,Bueno,Dave Gnaase
Atlanta United ,Republic of Ireland,Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Jake Mulraney
Beijing Sinobo Guoan FC ,China PR,Delantero Centro,23,Bueno,Zhang Yuning
Club Tijuana ,Mexico,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Mauro Laínez
Heracles Almelo ,Belgium,Defensor Central,24,Bueno,Dario Van den Buijs
Fleetwood Town ,England,Lateral Derecho,24,Bueno,Lewie Coyle
Sportverein Waldhof Mannheim 07 e.V. ,Germany,Mediocampista Defensivo,24,Bueno,Marco Schuster
Accrington Stanley ,England,Delantero Centro,23,Bueno,Colby Bishop
Rochdale ,Republic of Ireland,Defensor Central,24,Bueno,Eoghan O'Connell
Wycombe Wanderers ,Nigeria,Extremo Derecho | Extremo Izquierdo,23,Bueno,Fred Onyedinma
RKC Waalwijk ,Morocco,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,25,Bueno,Anas Tahiri
Portsmouth ,England,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Marcus Harness
Shrewsbury ,Scotland,Delantero Centro,24,Bueno,Jason Cummings
Luton Town ,Republic of Ireland,Defensor Central | Mediocampista Defensivo,25,Bueno,Glen Rea
SG Dynamo Dresden ,Sweden,Lateral Derecho | Defensor Central | Mediocampista Derecho,23,Bueno,Linus Wahlqvist
Charlton Athletic ,Zimbabwe,Delantero Centro | Mediocampista Derecho,24,Bueno,Macauley Bonne
Arsenal ,England,Arquero,25,Bueno,Matt Macey
Standard de Liège ,Belgium,Lateral Izquierdo | Mediocampista Izquierdo,23,Bueno,Senna Miangue
Desportivo das Aves ,Poland,Defensor Central,24,Bueno,Adam Dzwigala
SK Rapid Wien ,Slovenia,Mediocampista Defensivo | Mediocampista Derecho | Mediocampista,22,Bueno,Dejan Petrovic
Gallos Blancos de Querétaro ,Ecuador,Mediocampista Izquierdo,22,Bueno,Jonathan Perlaza
Sociedad Deportiva Aucas ,Ecuador,Lateral Izquierdo,24,Bueno,Carlos Cuero
Caracas Fútbol Club ,Venezuela,Delantero Centro | Extremo Derecho | Extremo Izquierdo,24,Bueno,Richard Celis
Caracas Fútbol Club ,Venezuela,Lateral Derecho,19,Bueno,Eduardo Fereira
Desportivo das Aves ,Portugal,Defensor Central,21,Bueno,Hélder Baldé
Angers SCO ,Algeria,Lateral Derecho,24,Bueno,Haithem Loucif
Pisa ,Italy,Delantero Centro | Mediapunta,24,Bueno,Micheal Fabbro
FK Austria Wien ,Austria,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Benedikt Pichler
Desportivo das Aves ,China PR,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,23,Bueno,De Erjiaduo
VfL Osnabrück ,Germany,Mediocampista Defensivo,23,Bueno,Sven Köhler
Gamba Osaka ,Japan,Lateral Derecho | Defensor Central,23,Bueno,Ryu Takao
Clubul Sportiv Gaz Metan Media? ,Romania,Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Stephan Draghici
FC Ingolstadt 04 ,Canada,Delantero Centro | Mediocampista Izquierdo,24,Bueno,Caniggia Elva
TSV 1860 München ,Germany,Arquero,23,Bueno,Marco Hiller
SC Paderborn 07 ,Bosnia & Herzegovina,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,25,Bueno,Rifet Kapic
FC Erzgebirge Aue ,Serbia,Lateral Izquierdo | Defensor Central,24,Bueno,Filip Kusic
KRC Genk ,Nigeria,Delantero Centro,22,Bueno,Stephen Odey
Newell's Old Boys ,Argentina,Lateral Izquierdo,24,Bueno,Leonel Ferroni
Atlético Tucumán ,Argentina,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Gabriel Risso Patrón
Desportivo das Aves ,France,Carrilero Derecho | Mediocampista Derecho | Extremo Derecho,23,Bueno,Arthur Yamga
FC Twente ,Netherlands,Mediocampista Defensivo,20,Bueno,Godfried Roemeratoe
Waasland-Beveren ,Belgium,Mediocampista | Mediocampista Ofensivo,22,Bueno,Matthias Verreth
Slask Wroclaw ,Spain,Delantero Centro,24,Bueno,Erik Expósito
Millonarios FC ,Colombia,Lateral Derecho,24,Bueno,Felipe Román
Alianza Petrolera ,Colombia,Mediocampista Defensivo,26,Bueno,Harlin Suárez
Colorado Rapids ,United States,Lateral Derecho | Defensor Central,24,Bueno,Kortne Ford
Gallos Blancos de Querétaro ,Mexico,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Jordi Cortizo
R. Valladolid CF ,Spain,Mediocampista Defensivo | Mediocampista,23,Bueno,Kike Pérez
Standard de Liège ,Belgium,Lateral Izquierdo | Defensor Central,23,Bueno,Dimitri Lavalée
FSV Zwickau ,Germany,Delantero Centro,23,Bueno,Elias Huth
Club Atlético Huracán ,Ermenia,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Norberto Briasco
LAFC ,Mexico,Arquero,25,Bueno,Pablo Sisniega
Al Nassr ,Saudi Arabia,Mediocampista Defensivo | Mediocampista,22,Bueno,Mukhtar Ali
Argentinos Juniors ,Argentina,Mediocampista Defensivo | Mediocampista,24,Bueno,Francis Mac Allister
Forest Green Rovers ,Gambia,Mediocampista Defensivo | Mediocampista,24,Bueno,Ebou Adams
Chamois Niortais Football Club ,France,Lateral Derecho | Lateral Izquierdo | Defensor Central,24,Bueno,Julien Dacosta
Alianza Petrolera ,Colombia,Defensor Central,25,Bueno,Carlos Pérez
Monterrey ,Mexico,Arquero,24,Bueno,Edson Reséndez
Çaykur Rizespor ,Ukraine,Delantero Centro,24,Bueno,Andriy Boryachuk
Vitesse ,Netherlands,Delantero Centro | Extremo Izquierdo,22,Bueno,Jay-Roy Grot
Peterborough United ,England,Lateral Derecho,23,Bueno,Niall Mason
MSV Duisburg ,Germany,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Ahmet Engin
Le Mans FC ,France,Lateral Derecho | Mediocampista Defensivo,23,Bueno,Aloïs Confais
FC Sochaux-Montbéliard ,Algeria,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,24,Bueno,Sofiane Daham
FC Lugano ,Ivory Coast,Lateral Derecho | Defensor Central,24,Bueno,Eloge Yao
VVV-Venlo ,Switzerland,Defensor Central | Mediocampista Defensivo,25,Bueno,Roy Gelmi
BK Häcken ,Sweden,Lateral Derecho | Lateral Izquierdo,23,Bueno,Adam Andersson
Rotherham United ,Scotland,Mediocampista Defensivo | Mediocampista,24,Bueno,Jamie Lindsay
FK Haugesund ,Ivory Coast,Defensor Central,25,Bueno,Ben Kantie Karamoko
Östersunds FK ,England,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,23,Bueno,Charlie Colkett
Villarreal CF ,Spain,Defensor Central,24,Bueno,Carlos Blanco
Deportes Tolima ,Colombia,Lateral Derecho,24,Bueno,Nilson Castrillón
Sint-Truidense VV ,Belgium,Defensor Central | Mediocampista Defensivo | Mediocampista,23,Bueno,Samy Mmaee
Colchester United ,Montserrat,Mediocampista Defensivo | Mediocampista,24,Bueno,Brandon Comley
IFK Göteborg ,Sweden,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,25,Bueno,Victor Wernersson
Crewe Alexandra ,England,Lateral Derecho,24,Bueno,Perry Ng
Forest Green Rovers ,England,Defensor Central,24,Bueno,Farrend Rawson
Club Atlético Central Córdoba ,Argentina,Mediocampista Defensivo | Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Franco Cristaldo
Gillingham ,England,Lateral Izquierdo | Defensor Central,24,Bueno,Connor Ogilvie
Pachuca ,Mexico,Mediocampista Derecho | Mediocampista,24,Bueno,Luis Chávez
Grenoble Foot 38 ,Congo,Mediocampista,24,Bueno,Yves-Simon Pambou
Castellammare di Stabia ,Italy,Mediocampista Ofensivo | Extremo Derecho | Extremo Izquierdo,24,Bueno,Francesco Di Mariano
IK Sirius ,Sweden,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,24,Bueno,Elias Andersson
Houston Dynamo ,Croatia,Arquero,24,Bueno,Marko Maric
AS Saint-Étienne ,France,Lateral Derecho,21,Bueno,Yvann Maçon
Club Atlético Lanús ,Argentina,Defensor Central,20,Bueno,Matías Pérez
Club Atlético Lanús ,Argentina,Lateral Derecho,21,Bueno,Matías Vera
Barcelona Guayaquil ,Ecuador,Defensor Central,24,Bueno,Anthony Bedoya
CD Antofagasta ,Venezuela,Mediocampista Derecho | Mediocampista,23,Bueno,Luis Guerra
RC Celta ,Serbia,Arquero,23,Bueno,Dragan Rosic
Yokohama F·Marinos ,Japan,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,21,Bueno,Kota Watanabe
CD Mirandés ,Spain,Lateral Izquierdo,23,Bueno,Franquesa
Desportivo das Aves ,Brazil,Arquero,24,Bueno,Raphael Aflalo
Portimonense SC ,Brazil,Mediocampista Derecho | Mediocampista Ofensivo,19,Bueno,Luquinhas
Castellammare di Stabia ,Italy,Mediocampista Defensivo | Mediocampista,23,Bueno,Giacomo Calò
Sparta Rotterdam ,Netherlands,Mediocampista,23,Bueno,Laros Duarte
WSG Swarovski Tirol ,Austria,Defensor Central | Mediocampista Defensivo | Mediocampista,21,Bueno,Michael Svoboda
FC Hansa Rostock ,Germany,Delantero Centro | Extremo Derecho | Extremo Izquierdo,23,Bueno,Daniel Hanslik
U Craiova 1948 Club Sportiv ,Romania,Lateral Derecho,21,Bueno,?tefan Vladoiu
Örebro SK ,Sweden,Mediocampista Derecho | Extremo Derecho,21,Bueno,Jake Larsson
Real Betis ,Ivory Coast,Mediocampista Defensivo | Mediocampista,22,Bueno,Paul Akouokou
ESTAC Troyes ,France,Mediocampista Izquierdo | Mediocampista,22,Bueno,Dylan Chambost
FC St. Gallen 1879 ,Switzerland,Delantero Centro | Mediocampista Ofensivo,22,Bueno,Jérémy Guillemenot
FC Würzburger Kickers ,Germany,Delantero Centro,23,Bueno,Luca Pfeiffer
Chamois Niortais Football Club ,Gabon,Mediocampista Derecho | Mediocampista Ofensivo,23,Bueno,Louis Ameka Autchanga
Chemnitzer FC ,Germany,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Tarsis Bonga
1. FC Kaiserslautern ,Bosnia & Herzegovina,Arquero,23,Bueno,Avdo Spahic
Portland Timbers ,United States,Delantero Centro | Mediocampista | Mediocampista Ofensivo,23,Bueno,Eryk Williamson
Trabzonspor ,Turkey,Lateral Izquierdo,21,Bueno,Abdurrahim Dursun
Shanghai SIPG FC ,China PR,Mediocampista Izquierdo | Extremo Izquierdo,22,Bueno,Chen Binbin
Stade Malherbe Caen ,France,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Jordan Tell
Jaguares Fútbol Club ,Venezuela,Mediocampista,23,Bueno,Ronaldo Lucena
FC St. Pauli ,Germany,Mediocampista Derecho | Mediocampista Izquierdo,21,Bueno,Kevin Lankford
Club Atlético Aldosivi ,Argentina,Defensor Central,24,Bueno,Nicolás Bazzana
Unión de Santa Fe ,Argentina,Mediocampista Izquierdo,22,Bueno,Braian Álvarez
SPAL ,Brazil,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,23,Bueno,Strefezza
FSV Zwickau ,Canada,Carrilero Derecho | Lateral Derecho | Carrilero Izquierdo | Extremo Derecho | Extremo Izquierdo,23,Bueno,Marcus Godinho
Accrington Stanley ,England,Defensor Central,21,Bueno,Ross Sykes
Forest Green Rovers ,England,Defensor Central,23,Bueno,Nathan McGinley
1. FC Kaiserslautern ,Germany,Mediocampista Defensivo | Mediocampista,22,Bueno,Gino Fechner
Atlanta United ,England,Carrilero Derecho | Lateral Derecho | Defensor Central | Extremo Derecho,23,Bueno,Anton Walkes
Walsall ,Scotland,Lateral Izquierdo | Defensor Central,23,Bueno,Zak Jules
SSV Jahn Regensburg ,Germany,Delantero Centro,23,Bueno,Erik Wekesser
Coventry City ,England,Mediocampista | Mediocampista Ofensivo,23,Bueno,Zain Westbrooke
AS Nancy Lorraine ,France,Lateral Izquierdo | Mediocampista Defensivo | Mediocampista,23,Bueno,Vincent Marchetti
Club Deportivo Oriente Petrolero ,Bolivia,Mediocampista Defensivo | Mediocampista,23,Bueno,Sebastián Gamarra
Sarpsborg 08 FF ,Norway,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Mohamed Ofkir
Bradford City ,England,Arquero,24,Bueno,Luke McGee
SpVgg Unterhaching ,Germany,Arquero,23,Bueno,Steve Kroll
US Orléans Loiret Football ,France,Lateral Izquierdo | Defensor Central,24,Bueno,Gabriel Mutombo
Chiavari ,Ukraine,Arquero,24,Bueno,Nikita Contini
Huachipato FC ,Chile,Mediocampista,23,Bueno,Joaquin Verdugo
New York City FC ,United States,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,23,Bueno,Gedion Zelalem
VVV-Venlo ,England,Delantero Centro | Extremo Derecho | Extremo Izquierdo,23,Bueno,Jerome Sinclair
IF Elfsborg ,Norway,Arquero,24,Bueno,Mathias Dyngeland
Free Agents ,Bulgaria,Lateral Izquierdo,22,Bueno,Angel Lyaskov
Girona FC ,Uruguay,Delantero Centro,23,Bueno,Joaquín Zeballos
Girona FC ,Spain,Delantero Centro | Mediocampista Ofensivo,23,Bueno,Carlos Martínez
Sport Huancayo ,Peru,Lateral Derecho | Mediocampista Derecho,21,Bueno,Joe Martinez
Pachuca ,Mexico,Lateral Derecho | Mediocampista Derecho,21,Bueno,Kevin Álvarez
Impact Montréal ,Argentina,Mediocampista Defensivo | Mediocampista,23,Bueno,Emanuel Maciel
Getafe CF ,Niger,Defensor Central,22,Bueno,Yacouba Diori
FC Porto ,Senegal,Arquero,22,Bueno,Mouhamed Mbaye
KAS Eupen ,Belgium,Arquero,22,Bueno,Romain Matthys
Portimonense SC ,Portugal,Delantero Centro,22,Bueno,Beto
